Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2015-12-23,13.439667,0.0,79.09075
2015-12-24,13.527164,0.0,83.15987
2015-12-25,13.552165,0.0,79.37207
2015-12-26,14.8355,0.0,56.950016
2015-12-27,15.747998,0.0,39.733494
2015-12-28,15.06675,0.0,44.1327
2015-12-29,14.352166,0.0,66.66747
2015-12-30,14.287585,0.0,81.52114
2015-12-31,13.7855,0.0,79.23501
2016-01-01,13.589667,0.0,76.36858
2016-01-02,14.118832,0.0,78.737656
2016-01-03,15.033417,0.1,80.72022
2016-01-04,16.345917,0.0,82.35251
2016-01-05,13.883415,10.7,86.00012
2016-01-06,11.59175,0.0,72.33653
2016-01-07,12.104249,0.0,70.83758
2016-01-08,15.89175,1.2,59.466476
2016-01-09,15.006331,1.9000001,86.69562
2016-01-10,14.8605,0.1,80.9458
2016-01-11,14.241749,0.0,71.6459
2016-01-12,13.910499,0.0,81.09562
2016-01-13,13.877166,0.0,81.831795
2016-01-14,15.500083,0.0,57.60287
2016-01-15,13.4855,0.3,86.35269
2016-01-16,12.981334,0.0,70.57935
2016-01-17,12.000083,0.0,64.01005
2016-01-18,12.177166,0.0,73.37431
2016-01-19,12.081333,0.0,77.626274
2016-01-20,12.933415,0.0,75.94535
2016-01-21,15.364667,0.0,77.60145
2016-01-22,15.450084,0.0,81.696495
2016-01-23,16.123001,0.0,75.59333
2016-01-24,16.833414,0.0,55.24248
2016-01-25,14.983414,0.0,72.48818
2016-01-26,13.633415,0.0,81.118614
2016-01-27,13.023,0.0,75.378746
2016-01-28,11.743832,0.0,80.39533
2016-01-29,11.804249,0.0,80.17206
2016-01-30,12.072999,0.0,75.714485
2016-01-31,12.21675,0.0,76.20306
2016-02-01,13.191749,0.0,77.03599
2016-02-02,13.427166,0.0,78.34965
2016-02-03,14.002167,0.0,82.3066
2016-02-04,14.9105,0.0,72.02361
2016-02-05,16.331331,0.0,55.82452
2016-02-06,16.681332,0.0,56.462315
2016-02-07,15.000084,0.0,78.43876
2016-02-08,14.51675,0.0,80.382126
2016-02-09,13.270916,0.0,75.44839
2016-02-10,13.387584,0.0,78.89318
2016-02-11,14.968833,0.2,83.15171
2016-02-12,15.977165,0.0,81.74899
2016-02-13,15.531334,0.2,80.74376
2016-02-14,13.175082,8.9,82.26504
2016-02-15,9.406334,26.699999,81.66964
2016-02-16,7.806333,0.2,70.9116
2016-02-17,9.287584,0.0,57.81317
2016-02-18,9.468833,2.7000003,74.49506
2016-02-19,11.498001,1.9000002,78.35167
2016-02-20,12.902167,0.0,60.325806
2016-02-21,13.572999,0.0,46.703945
2016-02-22,12.545917,4.3999996,78.74136
2016-02-23,12.512582,0.0,76.088234
2016-02-24,11.706334,0.0,78.70179
2016-02-25,11.939667,0.2,78.25608
2016-02-26,11.593835,5.6000004,78.61093
2016-02-27,8.762584,26.1,85.80918
2016-02-28,8.639667,7.1,83.06801
2016-02-29,10.2355,3.5,80.81054
2016-03-01,11.383415,0.0,73.202095
2016-03-02,11.862583,0.0,73.48089
2016-03-03,12.02925,0.0,81.08816
2016-03-04,13.027165,0.0,81.35696
2016-03-05,11.602165,1.8000001,79.74204
2016-03-06,10.010501,0.2,74.345924
2016-03-07,9.206333,5.2999997,81.3411
2016-03-08,10.49175,0.5,80.02184
2016-03-09,10.895916,0.0,70.90402
2016-03-10,10.94175,0.6,77.87048
2016-03-11,10.514667,0.0,69.89619
2016-03-12,11.364666,0.0,64.0666
2016-03-13,11.741749,0.0,65.61572
2016-03-14,12.062581,0.0,67.3208
2016-03-15,11.558415,0.0,76.542015
2016-03-16,12.983417,0.0,76.73788
2016-03-17,13.962583,0.0,77.17425
2016-03-18,12.223001,0.0,77.66813
2016-03-19,13.000084,0.3,76.31373
2016-03-20,12.46675,0.1,75.273094
2016-03-21,11.350082,6.4999995,78.010345
2016-03-22,11.0605,11.099999,86.776276
2016-03-23,10.656333,13.8,90.612335
2016-03-24,11.906331,0.3,78.40846
2016-03-25,12.412583,0.0,76.78376
2016-03-26,12.852164,0.0,80.24089
2016-03-27,13.598001,0.0,77.884895
2016-03-28,14.527165,0.0,78.54632
2016-03-29,15.068832,0.0,75.6712
2016-03-30,15.302167,0.0,80.32861
2016-03-31,12.5875845,0.8,70.533966
2016-04-01,11.402165,0.0,64.925575
2016-04-02,12.216748,0.0,70.54765
2016-04-03,13.906333,0.0,72.01293
2016-04-04,14.37925,5.4,78.14477
2016-04-05,13.104251,3.7,77.1587
2016-04-06,12.764667,0.0,74.97292
2016-04-07,14.233417,0.0,74.397255
2016-04-08,14.404248,0.0,76.77426
2016-04-09,13.59383,0.0,70.87738
2016-04-10,13.858417,0.0,72.39612
2016-04-11,14.21675,0.0,72.15121
2016-04-12,14.887581,0.0,71.15915
2016-04-13,15.241749,0.0,70.50231
2016-04-14,15.020916,0.0,74.736534
2016-04-15,15.300083,0.0,74.46703
2016-04-16,16.304249,0.0,74.45422
2016-04-17,16.939665,0.5,76.332664
2016-04-18,17.858416,0.5,75.74116
2016-04-19,16.443832,1.0,72.00947
2016-04-20,14.737582,2.3999999,72.419685
2016-04-21,15.329249,0.0,66.92965
2016-04-22,17.718832,0.0,61.655975
2016-04-23,17.231333,0.0,66.92696
2016-04-24,16.987581,0.0,75.48798
2016-04-25,17.818834,0.0,72.08379
